order_item_id,order_id,menu_item_id,item_name,category,quantity,unit_price_eur,unit_cost_eur,line_revenue_eur,line_cost_eur,line_profit_eur
1,1,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
2,1,13,Grilled Salmon,Main,2,16.5,7.8,33.0,15.6,17.4
3,2,17,Chocolate Cake,Dessert,2,5.0,1.7,10.0,3.4,6.6
4,2,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
5,2,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
6,3,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
7,3,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
8,4,15,Chicken Wrap,Main,2,9.5,3.6,19.0,7.2,11.8
9,4,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
10,4,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
11,5,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
12,5,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
13,6,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
14,7,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
15,7,12,Garlic Bread,Sides,2,4.5,1.3,9.0,2.6,6.4
16,7,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
17,7,5,Penne Alfredo,Pasta,2,11.0,4.2,22.0,8.4,13.6
18,8,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
19,8,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
20,8,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
21,9,13,Grilled Salmon,Main,1,16.5,7.8,16.5,7.8,8.7
22,9,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
23,10,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
24,11,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
25,11,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
26,12,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
27,12,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
28,12,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
29,12,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
30,13,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
31,13,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
