order_id,order_datetime,order_date,customer_id,channel,location,payment_method,status,subtotal_eur,discount_eur,delivery_fee_eur,total_revenue_eur,estimated_profit_eur
1,2025-01-01 11:00:00,2025-01-01,435,Dine-in,Terrace,Cash,Completed,38.0,0.0,0.0,38.0,20.7
2,2025-01-01 12:35:00,2025-01-01,257,Delivery,Online,Online,Completed,29.0,0.0,0.0,29.0,18.7
3,2025-01-01 14:15:00,2025-01-01,266,Dine-in,Main Hall,Card,Completed,14.0,0.0,0.0,14.0,9.3
4,2025-01-01 09:15:00,2025-01-01,472,Dine-in,Terrace,Online,Completed,40.5,4.05,0.0,36.45,21.25
5,2025-01-01 14:05:00,2025-01-01,288,Delivery,Online,Card,Completed,15.5,0.0,3.0,18.5,12.9
6,2025-01-01 21:20:00,2025-01-01,263,Delivery,Online,Online,Completed,2.5,0.0,0.0,2.5,1.8
7,2025-01-01 14:40:00,2025-01-01,303,Takeaway,Online,Online,Completed,44.5,2.22,0.0,42.28,26.58
8,2025-01-01 14:40:00,2025-01-01,364,Dine-in,Terrace,Cash,Completed,31.5,0.0,0.0,31.5,17.5
9,2025-01-01 21:05:00,2025-01-01,359,Dine-in,Terrace,Online,Completed,28.0,0.0,0.0,28.0,16.2
10,2025-01-01 12:20:00,2025-01-01,341,Delivery,Online,Card,Completed,11.0,0.0,3.0,14.0,9.8
11,2025-01-01 09:45:00,2025-01-01,362,Dine-in,Terrace,Card,Completed,20.5,0.0,0.0,20.5,13.4
12,2025-01-01 14:25:00,2025-01-01,173,Delivery,Online,Online,Completed,45.5,4.55,0.0,40.95,22.55
13,2025-01-01 15:40:00,2025-01-01,187,Dine-in,Main Hall,Card,Completed,14.0,0.0,0.0,14.0,9.0
14,2025-01-01 14:45:00,2025-01-01,239,Dine-in,Main Hall,Cash,Completed,16.5,0.0,0.0,16.5,8.7
15,2025-01-01 13:55:00,2025-01-01,450,Dine-in,Terrace,Card,Completed,24.5,0.0,0.0,24.5,15.7
16,2025-01-01 08:40:00,2025-01-01,435,Dine-in,Bar,Card,Completed,14.5,0.0,0.0,14.5,9.8
17,2025-01-01 19:55:00,2025-01-01,303,Dine-in,Bar,Card,Completed,44.3,2.22,0.0,42.08,26.58
18,2025-01-02 19:25:00,2025-01-02,199,Delivery,Online,Card,Completed,29.5,0.0,0.0,29.5,16.1
19,2025-01-02 15:50:00,2025-01-02,315,Delivery,Online,Online,Completed,36.0,0.0,0.0,36.0,22.9
20,2025-01-02 21:45:00,2025-01-02,171,Dine-in,Terrace,Card,Completed,19.0,0.0,0.0,19.0,11.8
21,2025-01-02 19:05:00,2025-01-02,470,Dine-in,Bar,Online,Completed,61.0,6.1,0.0,54.9,32.6
22,2025-01-02 21:40:00,2025-01-02,39,Dine-in,Terrace,Cash,Completed,2.8,0.0,0.0,2.8,2.2
23,2025-01-02 19:25:00,2025-01-02,236,Delivery,Online,Card,Completed,11.5,0.0,0.0,11.5,7.7
24,2025-01-02 14:20:00,2025-01-02,158,Delivery,Online,Card,Completed,28.8,0.0,0.0,28.8,19.3
25,2025-01-02 18:15:00,2025-01-02,293,Delivery,Online,Card,Completed,54.0,5.4,0.0,48.6,24.3
26,2025-01-02 15:30:00,2025-01-02,349,Takeaway,Online,Online,Completed,38.5,0.0,0.0,38.5,24.8
27,2025-01-02 19:10:00,2025-01-02,5,Dine-in,Bar,Cash,Cancelled,0.0,0.0,0.0,0.0,0.0
28,2025-01-02 18:30:00,2025-01-02,381,Takeaway,Online,Card,Completed,25.5,0.0,0.0,25.5,16.5
29,2025-01-02 18:00:00,2025-01-02,226,Delivery,Online,Card,Completed,26.5,0.0,2.5,29.0,19.7
30,2025-01-02 13:15:00,2025-01-02,454,Delivery,Online,Online,Completed,58.0,2.9,0.0,55.1,31.1
31,2025-01-02 15:45:00,2025-01-02,289,Delivery,Online,Cash,Completed,35.0,0.0,0.0,35.0,22.1
32,2025-01-02 18:25:00,2025-01-02,188,Dine-in,Terrace,Card,Completed,41.0,4.1,0.0,36.9,21.3
33,2025-01-02 15:50:00,2025-01-02,450,Dine-in,Main Hall,Card,Completed,63.0,3.15,0.0,59.85,35.65
34,2025-01-02 17:55:00,2025-01-02,37,Dine-in,Main Hall,Card,Completed,28.0,0.0,0.0,28.0,18.2
35,2025-01-03 19:20:00,2025-01-03,381,Dine-in,Bar,Card,Completed,33.5,0.0,0.0,33.5,22.3
36,2025-01-03 19:45:00,2025-01-03,397,Delivery,Online,Card,Completed,37.5,0.0,0.0,37.5,24.3
37,2025-01-03 14:15:00,2025-01-03,21,Delivery,Online,Online,Completed,47.0,4.7,0.0,42.3,25.3
38,2025-01-03 19:15:00,2025-01-03,430,Dine-in,Main Hall,Card,Completed,21.0,0.0,0.0,21.0,10.5
39,2025-01-03 12:00:00,2025-01-03,349,Dine-in,Main Hall,Cash,Completed,65.0,3.25,0.0,61.75,32.45
40,2025-01-03 22:45:00,2025-01-03,117,Takeaway,Online,Online,Completed,33.3,0.0,0.0,33.3,22.5
41,2025-01-03 20:05:00,2025-01-03,392,Delivery,Online,Card,Completed,13.5,0.0,0.0,13.5,9.6
42,2025-01-03 16:50:00,2025-01-03,86,Dine-in,Bar,Card,Completed,36.0,0.0,0.0,36.0,23.8
43,2025-01-03 12:55:00,2025-01-03,194,Delivery,Online,Card,Completed,32.5,0.0,2.5,35.0,22.8
44,2025-01-03 14:30:00,2025-01-03,262,Takeaway,Online,Online,Completed,18.0,0.0,0.0,18.0,12.3
45,2025-01-03 13:50:00,2025-01-03,111,Delivery,Online,Card,Completed,40.5,2.02,0.0,38.48,23.68
46,2025-01-03 19:05:00,2025-01-03,243,Dine-in,Terrace,Cash,Cancelled,0.0,0.0,0.0,0.0,0.0
47,2025-01-03 12:55:00,2025-01-03,402,Takeaway,Online,Card,Completed,24.5,0.0,0.0,24.5,15.4
48,2025-01-03 17:00:00,2025-01-03,332,Dine-in,Bar,Online,Cancelled,0.0,0.0,0.0,0.0,0.0
49,2025-01-04 13:05:00,2025-01-04,354,Takeaway,Online,Online,Completed,44.5,2.22,0.0,42.28,26.08
50,2025-01-04 16:35:00,2025-01-04,355,Delivery,Online,Online,Completed,81.0,4.05,0.0,76.95,40.85
51,2025-01-04 19:40:00,2025-01-04,111,Takeaway,Online,Card,Completed,40.5,2.02,0.0,38.48,23.68
52,2025-01-04 18:35:00,2025-01-04,424,Takeaway,Online,Card,Completed,15.5,0.0,0.0,15.5,9.8
53,2025-01-04 18:55:00,2025-01-04,266,Takeaway,Online,Card,Completed,22.0,0.0,0.0,22.0,14.7
54,2025-01-04 21:30:00,2025-01-04,284,Dine-in,Bar,Cash,Completed,26.0,0.0,0.0,26.0,16.7
55,2025-01-04 15:10:00,2025-01-04,251,Dine-in,Bar,Card,Completed,22.0,0.0,0.0,22.0,13.6
56,2025-01-04 20:35:00,2025-01-04,119,Dine-in,Terrace,Card,Completed,9.5,0.0,0.0,9.5,6.3
57,2025-01-04 19:50:00,2025-01-04,490,Dine-in,Terrace,Cash,Completed,25.5,0.0,0.0,25.5,16.8
58,2025-01-04 20:40:00,2025-01-04,340,Dine-in,Terrace,Cash,Completed,5.5,0.0,0.0,5.5,3.7
59,2025-01-04 18:20:00,2025-01-04,498,Dine-in,Terrace,Card,Completed,27.0,0.0,0.0,27.0,16.8
60,2025-01-04 10:20:00,2025-01-04,290,Takeaway,Online,Cash,Cancelled,0.0,0.0,0.0,0.0,0.0
61,2025-01-04 13:25:00,2025-01-04,76,Dine-in,Terrace,Online,Completed,38.5,0.0,0.0,38.5,22.2
62,2025-01-04 21:05:00,2025-01-04,454,Dine-in,Main Hall,Online,Completed,75.1,7.51,0.0,67.59,35.19
63,2025-01-04 12:30:00,2025-01-04,279,Dine-in,Bar,Card,Completed,4.5,0.0,0.0,4.5,3.1
64,2025-01-04 12:15:00,2025-01-04,65,Dine-in,Main Hall,Card,Completed,19.5,0.0,0.0,19.5,12.9
65,2025-01-04 14:25:00,2025-01-04,462,Takeaway,Online,Online,Completed,29.0,0.0,0.0,29.0,19.0
66,2025-01-04 18:30:00,2025-01-04,153,Dine-in,Main Hall,Online,Completed,26.0,0.0,0.0,26.0,16.6
67,2025-01-04 12:30:00,2025-01-04,427,Dine-in,Terrace,Online,Completed,9.5,0.0,0.0,9.5,5.9
68,2025-01-04 21:45:00,2025-01-04,292,Delivery,Online,Online,Completed,72.5,3.62,0.0,68.88,37.28
69,2025-01-04 21:00:00,2025-01-04,433,Delivery,Online,Card,Completed,33.0,0.0,2.5,35.5,23.8
70,2025-01-04 20:45:00,2025-01-04,440,Delivery,Online,Cash,Completed,42.0,2.1,2.5,42.4,25.5
71,2025-01-04 14:00:00,2025-01-04,472,Dine-in,Terrace,Card,Completed,38.5,0.0,0.0,38.5,24.5
72,2025-01-04 13:30:00,2025-01-04,164,Dine-in,Terrace,Online,Completed,5.0,0.0,0.0,5.0,3.3
73,2025-01-04 18:55:00,2025-01-04,119,Takeaway,Online,Card,Completed,19.0,0.0,0.0,19.0,12.3
74,2025-01-04 18:45:00,2025-01-04,441,Takeaway,Online,Card,Cancelled,0.0,0.0,0.0,0.0,0.0
75,2025-01-04 21:35:00,2025-01-04,125,Delivery,Online,Card,Completed,84.0,4.2,0.0,79.8,43.2
76,2025-01-05 12:30:00,2025-01-05,130,Takeaway,Online,Card,Completed,31.5,0.0,0.0,31.5,20.2
77,2025-01-05 16:30:00,2025-01-05,326,Dine-in,Terrace,Cash,Completed,22.0,0.0,0.0,22.0,14.2
78,2025-01-05 19:30:00,2025-01-05,442,Delivery,Online,Card,Completed,33.5,0.0,0.0,33.5,21.3
79,2025-01-05 19:35:00,2025-01-05,279,Dine-in,Main Hall,Online,Completed,41.3,4.13,0.0,37.17,23.97
80,2025-01-05 21:40:00,2025-01-05,142,Dine-in,Main Hall,Card,Completed,12.8,0.0,0.0,12.8,8.3
81,2025-01-05 21:45:00,2025-01-05,323,Dine-in,Bar,Online,Completed,54.0,2.7,0.0,51.3,32.0
82,2025-01-05 19:05:00,2025-01-05,42,Takeaway,Online,Card,Completed,59.5,2.98,0.0,56.52,31.22
83,2025-01-05 19:10:00,2025-01-05,347,Takeaway,Online,Online,Completed,63.0,6.3,0.0,56.7,34.4
84,2025-01-05 20:10:00,2025-01-05,141,Dine-in,Main Hall,Card,Completed,19.0,0.0,0.0,19.0,11.8
85,2025-01-05 13:25:00,2025-01-05,288,Dine-in,Main Hall,Online,Completed,41.5,2.08,0.0,39.42,25.42
86,2025-01-05 16:25:00,2025-01-05,253,Takeaway,Online,Card,Completed,31.0,0.0,0.0,31.0,19.5
